    N_Charges       dx         Error  
    _________    ________    _________

        1               1          0.5
        2             0.5      0.24404
        3         0.33333       0.1593
        4            0.25      0.11818
        5             0.2     0.093919
        6         0.16667      0.07792
        7         0.14286     0.066576
        8           0.125     0.058115
        9         0.11111     0.051561
       10             0.1     0.046336
       11        0.090909     0.042072
       12        0.083333     0.038526
       13        0.076923     0.035532
       14        0.071429     0.032969
       15        0.066667     0.030752
       16          0.0625     0.028813
       17        0.058824     0.027105
       18        0.055556     0.025588
       19        0.052632     0.024231
       20            0.05     0.023012
       21        0.047619     0.021909
       22        0.045455     0.020907
       23        0.043478     0.019992
       24        0.041667     0.019155
       25            0.04     0.018384
       26        0.038462     0.017673
       27        0.037037     0.017016
       28        0.035714     0.016405
       29        0.034483     0.015837
       30        0.033333     0.015306
       31        0.032258      0.01481
       32         0.03125     0.014346
       33        0.030303     0.013909
       34        0.029412     0.013498
       35        0.028571     0.013111
       36        0.027778     0.012746
       37        0.027027       0.0124
       38        0.026316     0.012072
       39        0.025641     0.011762
       40           0.025     0.011467
       41         0.02439     0.011186
       42         0.02381     0.010919
       43        0.023256     0.010664
       44        0.022727     0.010421
       45        0.022222     0.010189
       46        0.021739    0.0099666
